price,name,desc
"€ 265,75",Nokia Lumia 735 Orange,"Windows Phone, 4.7 inch, 1280x720, 6.7 MPixel, 134.3 gram"
"€ 283,15",Nokia Lumia 735 White,"Windows Phone, 4.7 inch, 1280x720, 6.7 MPixel, 134.3 gram"
"€ 465,70",Nokia Lumia 930 Orange,"Windows Phone, Qualcomm Snapdragon 800, 5 inch, 1920x1080, 20 MPixel, 167 gram"
"€ 159,00",Samsung Galaxy Core 2 Black,"Android, 4.5 inch, 800x480, 5 MPixel, 138 gram"
"€ 97,26",Samsung Galaxy Fame Lite Black,"Android, 3.5 inch, 480x320, 3 MPixel, 119.8 gram"
"€ 87,35",Samsung Galaxy Mini 2 S6500,"Android, Qualcomm Snapdragon S1 (MSM7227A), 3.27 inch, 480x320, 3 MPixel, 105 gram"
"€ 168,68",Samsung Galaxy S III Mini Blue,"Android, ST-Ericsson NovaThor U8420, 4 inch, 800x480, 5 MPixel, 111.5 gram"
"€ 367,90",Samsung Galaxy S5 Mini Gold,"Android, Samsung Exynos 3470, 4.5 inch, 1280x720, 8 MPixel, 120 gram"
"€ 508,74",Sony Xperia Z2 White,"Android, Qualcomm Snapdragon 801 (8974AB), 5.2 inch, 1920x1080, 20.7 MPixel, 163 gram"
"€ 204,72",Acer Liquid E700 Black,"Android, MediaTek MT6582, 5 inch, 1280x720, 8 MPixel, 156 gram"
"€ 61,22",Alcatel One Touch 20.01 Senior Black,"2.4 inch, 2 MPixel, 89 gram"
"€ 544,00",Apple iPhone 4S 32GB Black,"iOS, Apple A5, 3.5 inch, 960x640, 8 MPixel, 140 gram"
"€ 1.057,57",Apple iPhone 6 Plus 128GB Silver,"iOS, Apple A8, 5.5 inch, 1920x1080, 8 MPixel, 172 gram"
"€ 936,73",Apple iPhone 6 Plus 64GB Gold,"iOS, Apple A8, 5.5 inch, 1920x1080, 8 MPixel, 172 gram"
"€ 353,51",HTC Desire 816 White,"Android, Qualcomm Snapdragon 400 (8928), 5.5 inch, 1280x720, 13 MPixel, 165 gram"
"€ 417,12",HTC One Blue,"Android, 4.7 inch, 1920x1080, 2.1 MPixel, 143 gram"
"€ 390,06",HTC One Mini 2 Silver,"Android, Qualcomm Snapdragon 400 (8926), 4.5 inch, 1280x720, 13 MPixel, 136.9 gram"
"€ 143,64",LG L65 Black,"Android, 4.3 inch, 800x480, 5 MPixel, 127 gram"
"€ 66,72",Nokia Asha 210 Yellow,"2.4 inch, 320x240, 2 MPixel, 99.5 gram"
,,
"€ 390,72",Samsung Galaxy EXpress White,"Android, 4.5 inch, 800x480, 5 MPixel, 137 gram"
"€ 182,37",Samsung Galaxy Grand Neo Black,"Android, 5.1 inch, 800x480, 5 MPixel, 163 gram"
"€ 120,16",Samsung Galaxy Trend Plus White,"Android, 4 inch, 800x480, 5 MPixel, 118 gram"
"€ 111,75",Samsung Galaxy Y Duos Black,"Android, 3.14 inch, 320x240, 3.2 MPixel, 109 gram"
"€ 422,73",Sony Xperia Z1 Purple,"Android, Qualcomm Snapdragon 800 (8974), 5 inch, 1920x1080, 20.7 MPixel, 170 gram"
"€ 219,49",Wiko Highway Signs Black,"4.7 inch, 8 MPixel, 119 gram"
"€ 120,46",Alcatel One Touch Pop C7 Black,"Android, MediaTek MT6582M, 5 inch, 854x480, 8 MPixel, 165 gram"
